LeadTimeCohort,SMS_received,total,no_shows,no_show_rate
Same-Day,No SMS,43776,2905,0.06636056286549707
Same-Day,SMS Sent,0,0,
1-3 Days,No SMS,8556,2053,0.23994857410004675
1-3 Days,SMS Sent,906,193,0.2130242825607064
4-7 Days,No SMS,6868,1862,0.2711124053581829
4-7 Days,SMS Sent,10642,2551,0.23971058071791015
8-14 Days,No SMS,5021,1695,0.3375821549492133
8-14 Days,SMS Sent,7004,1969,0.2811250713877784
15-30 Days,No SMS,6851,2526,0.36870529849656986
15-30 Days,SMS Sent,10520,3135,0.2980038022813688
30+ Days,No SMS,3968,1489,0.37525201612903225
30+ Days,SMS Sent,6410,1936,0.3020280811232449
